Step;Time;Temp;KinEng;PotEng;TotEng;Press;Lx;Density
55000;55000;303.64901;7240.055;839.38502;8079.4401;812.82941;63.909539;0.72666741
55250;55250;297.63973;7096.7727;952.53732;8049.31;321.14237;64.001421;0.72354224
55500;55500;300.39372;7162.4375;1120.9526;8283.3901;228.43892;64.040471;0.72221944
55750;55750;298.95015;7128.0179;938.79736;8066.8152;83.186191;64.10469;0.72005111
56000;56000;300.33907;7161.1345;905.80661;8066.9411;113.54119;64.026731;0.72268452
56250;56250;296.79752;7076.6916;925.61245;8002.3041;172.19232;63.87795;0.72774598
56500;56500;291.73144;6955.8984;886.33723;7842.2356;13.263456;63.896969;0.72709634
56750;56750;295.57481;7047.5378;1024.4338;8071.9716;270.39475;63.965734;0.7247539
57000;57000;303.07628;7226.3991;873.77392;8100.173;402.14659;64.014278;0.72310635
57250;57250;295.51644;7046.146;880.90133;7927.0473;239.67104;64.032565;0.722487
57500;57500;295.63615;7049.0004;1112.4199;8161.4203;434.20001;64.05997;0.72156014
57750;57750;293.19071;6990.6925;969.94958;7960.6421;223.4214;64.116806;0.71964297
58000;58000;301.04188;7177.892;828.16615;8006.0581;592.67049;63.910183;0.72664545
58250;58250;297.3498;7089.8598;858.27885;7948.1386;354.96658;63.887309;0.72742621
58500;58500;301.09743;7179.2165;949.707;8128.9235;28.241444;64.101105;0.72017193
58750;58750;293.50366;6998.1545;998.80899;7996.9635;-108.03043;64.076288;0.72100904
59000;59000;303.92178;7246.5588;955.62371;8202.1825;58.78918;63.946905;0.72539431
59250;59250;297.16849;7085.5368;939.69976;8025.2366;214.0956;64.095974;0.72034487
59500;59500;301.35317;7185.3142;989.15068;8174.4649;228.79619;64.083;0.72078249
59750;59750;296.25468;7063.7484;952.16238;8015.9108;145.15492;63.96037;0.72493626
60000;60000;297.79565;7100.4904;892.33889;7992.8293;245.6328;63.920251;0.72630213
60250;60250;296.68403;7073.9856;1025.3899;8099.3755;260.20317;64.017334;0.72300279
60500;60500;293.50988;6998.3026;927.42547;7925.7281;63.310656;64.195361;0.71700437
60750;60750;301.52348;7189.375;969.81246;8159.1874;459.16669;64.072566;0.72113467
61000;61000;297.12761;7084.5619;917.25944;8001.8214;311.44259;63.945359;0.72544692
61250;61250;295.98662;7057.3568;988.01998;8045.3767;112.06282;63.982169;0.72419557
61500;61500;296.37706;7066.6662;1014.8457;8081.5119;425.62687;64.057681;0.72163751
61750;61750;302.88965;7221.9492;1049.4189;8271.3682;-62.838633;64.084801;0.72072174
62000;62000;294.93522;7032.2877;1065.5819;8097.8696;-112.34747;64.021202;0.72287178
62250;62250;298.63605;7120.5286;957.61232;8078.1409;63.83818;63.963455;0.72483138
62500;62500;295.78615;7052.577;906.03784;7958.6148;337.76686;63.867506;0.72810308
62750;62750;303.14161;7227.9568;810.4719;8038.4287;211.54548;63.955207;0.72511187
63000;63000;298.54986;7118.4735;766.08115;7884.5547;354.03482;63.98718;0.72402545
63250;63250;298.83459;7125.2623;964.30061;8089.5629;41.549735;63.845221;0.72886577
63500;63500;294.38711;7019.2189;872.15811;7891.377;57.603379;63.903717;0.72686604
63750;63750;294.6227;7024.8363;933.55436;7958.3906;-179.43647;63.861411;0.72831155
64000;64000;302.24204;7206.508;912.53575;8119.0438;238.25377;63.988377;0.72398482
